"block","trt","y","plot","mu","trt_mean","trt_effect","error_effect","trt_bar_min","trt_bar_max","err_bar_min","err_bar_max"
1,"new",291.1,1,312.26,339.06,26.8,-47.96,312.26,339.06,-47.96,0
1,"old",223.9,2,312.26,285.46,-26.8,-61.56,-26.8,0,-88.36,-26.8
2,"new",321.4,3,312.26,339.06,26.8,-17.66,312.26,339.06,-17.66,0
2,"old",249.9,4,312.26,285.46,-26.8,-35.56,-26.8,0,-62.36,-26.8
3,"new",399.3,5,312.26,339.06,26.8,60.24,312.26,339.06,339.06,399.3
3,"old",330.8,6,312.26,285.46,-26.8,45.34,-26.8,0,312.26,357.6
4,"new",362.6,7,312.26,339.06,26.8,23.54,312.26,339.06,339.06,362.6
4,"old",349.8,8,312.26,285.46,-26.8,64.34,-26.8,0,312.26,376.6
5,"new",320.9,9,312.26,339.06,26.8,-18.16,312.26,339.06,-18.16,0
5,"old",272.9,10,312.26,285.46,-26.8,-12.56,-26.8,0,-39.36,-26.8
