"block","gdd","nrate","yield"
"1","65","30",2.76407197665402
"1","65","60",2.41511135173605
"1","65","90",2.71703722178715
"1","80","30",2.54493427694776
"1","80","60",2.64465252638191
"1","80","90",2.35926602536383
"1","95","30",2.36153778891442
"1","95","60",2.71936223282745
"1","95","90",2.51898195695545
"1","110","30",2.26581638470369
"1","110","60",2.17091798476423
"1","110","90",2.73688533423725
"2","65","30",2.8610965065437
"2","65","60",2.71437561300743
"2","65","90",3.03621047250638
"2","80","30",2.96849244330927
"2","80","60",2.82107237802752
"2","80","90",2.66498372187976
"2","95","30",2.80821875789453
"2","95","60",3.16176419696632
"2","95","90",2.6769626866573
"2","110","30",2.38333844758229
"2","110","60",2.67572069011698
"2","110","90",3.33591949357105
"3","65","30",3.78335273223808
"3","65","60",3.5610604215955
"3","65","90",3.91256715897804
"3","80","30",3.68285181529427
"3","80","60",3.86278393705757
"3","80","90",3.71081833068129
"3","95","30",3.55780589199128
"3","95","60",3.82613052332878
"3","95","90",3.36120584833107
"3","110","30",3.52701264171113
"3","110","60",3.38582502111572
"3","110","90",3.73138599773771
"4","65","30",3.64270351609873
"4","65","60",3.91812426675106
"4","65","90",4.02871764114685
"4","80","30",4.00863481933817
"4","80","60",3.91259557383317
"4","80","90",3.87590721537584
"4","95","30",3.6269662944113
"4","95","60",3.85427027708997
"4","95","90",3.68168142844998
"4","110","30",3.46154527509261
"4","110","60",3.60233638503382
"4","110","90",3.82865361745289
