"block","foliar_trt","yield"
1,"conv+calcium",42.3480404417079
1,"conv+si+zn",50.0328275431371
1,"conv",48.152328707624
1,"conv+seaweed",52.0449878602415
2,"conv+seaweed",54.7818408711606
2,"conv+si+zn",46.8817936496657
2,"conv",45.4316845590235
2,"conv+calcium",43.9948310404726
3,"conv",44.4466494520405
3,"conv+calcium",44.6818761701991
3,"conv+si+zn",49.1165898797288
3,"conv+seaweed",50.1890325503171
4,"conv",44.8086790026164
4,"conv+si+zn",54.6070949346953
4,"conv+seaweed",50.6183115295985
4,"conv+calcium",45.306974865333
