"rate","biomass"
"rate_100",6.0963512886951
"rate_100",1.82895921384177
"rate_100",2.44441961510338
"rate_100",2.78982609494681
"rate_100",2.10589522144762
"rate_100",2.13454856596532
"rate_173",2.15505495197215
"rate_173",1.33938421183636
"rate_173",1.59359377837056
"rate_173",3.51451984777345
"rate_173",1.78624885934066
"rate_173",4.01119835070682
"rate_322",2.30199691088931
"rate_322",1.35254788037599
"rate_322",2.11506658803484
"rate_322",1.42222992458422
"rate_322",0.761845582423531
"rate_322",1.04631311369211
"rate_470",0.457953955960496
"rate_470",0.559155104433518
"rate_470",0.544029375232632
"rate_470",0.530331005226805
"rate_470",0.591544044744043
"rate_470",0.316986514402506
